Source	GeneSetID	GeneSetName	GeneList	n_Genes	LLM Name	LLM Analysis	Score
NeST	Cluster_ZNF557_1	Cluster_ZNF557_1	ZNF112 ZNF14 ZNF142 ZNF200 ZNF223 ZNF225 ZNF230 ZNF284 ZNF3 ZNF350 ZNF410 ZNF440 ZNF45 ZNF490 ZNF552 ZNF607 ZNF836	17	Transcriptional Regulation by Zinc Finger Proteins	This system contains a high concentration of **C2H2-type zinc finger proteins** (ZNFs), including *ZNF3, ZNF14, ZNF45, ZNF112, ZNF142, ZNF200, ZNF223, ZNF225, ZNF230, ZNF284, ZNF350, ZNF410, ZNF440, ZNF490, ZNF552, ZNF607, ZNF836*, and many others. These proteins are canonical DNA-binding transcription factors that function in gene silencing, activation, and chromatin remodeling. Their abundance and diversity indicate that **transcriptional control is a dominant process** in this gene set. These ZNF factors likely provide **modular regulation across genomic loci**, integrating with both general transcriptional machinery and context-specific signaling pathways.	0.88
NeST	Cluster_ZNF557_2	Cluster_ZNF557_2	GTF2B GTF2F1 GTF3C4 MED1 MED17 MED18 MED19 MED26 MED28 MED29 MED6 POLR1B POLR2D POLR3A POLR3C POLR3F TBP TFIP11	18	General Transcription Machinery and RNA Polymerase Assembly	Core transcriptional components including *POLR2D, POLR1B, POLR3A, POLR3C, POLR3F*, and *GTF2B, GTF2F1, GTF3C4* contribute to **RNA polymerase I, II, and III transcription initiation and elongation**. These are fundamental to pre-mRNA synthesis, rRNA transcription, and small RNA production. *TBP* and *TFIP11*, as well as Mediator complex components (*MED1, MED6, MED17, MED18, MED19, MED26, MED28, MED29*), provide platforms for transcription initiation complex formation and regulatory input, linking transcription factor activity to RNA synthesis.	0.88
NeST	Cluster_ZNF557_3	Cluster_ZNF557_3	DDX20 DDX39A DDX6 EXOSC3 EXOSC6 ISY1 PRPF4 PRPF6 RBM22 SLU7 SRSF6 XAB2	12	RNA Splicing, Processing, and Surveillance	The presence of multiple spliceosomal and RNA processing proteins (*PRPF6, PRPF4, RBM22, SLU7, DDX39A, SRSF6, XAB2, ISY1*) indicates significant activity in **co-transcriptional RNA processing**, including **splicing fidelity and exon-exon junction formation**. RNA surveillance and degradation proteins such as *EXOSC3, EXOSC6*, and RNA helicases *DDX20, DDX6* reinforce a quality control layer tightly coupled with transcript maturation.	0.88
NeST	Cluster_ZNF557_4	Cluster_ZNF557_4	MRPS17 RPS15 RRP36 RRP7A RRP8 UTP14A UTP15 UTP3	8	rRNA Processing and Ribosome Biogenesis	Genes like *UTP3, UTP14A, UTP15, RRP36, RRP7A, RRP8* and ribosomal factors like *MRPS17, RPS15* support **rRNA processing and small/large ribosomal subunit assembly**, particularly in the nucleolus. These suggest active regulation of **ribosome biogenesis**, essential for translational capacity in highly active transcriptional environments.	0.88
NeST	Cluster_ZNF557_5	Cluster_ZNF557_5	BRPF1 CXXC1 KDM5A MBD1 MTA2 NCOA5 PHF23 RBBP5 SETD1B	9	Epigenetic and Chromatin-Level Regulation	Chromatin modifiers including *BRPF1, SETD1B, KDM5A, MTA2, MBD1* and cofactors like *NCOA5, PHF23* highlight **transcriptional control at the epigenetic level**, integrating histone modification with promoter accessibility. *RBBP5* and *CXXC1* further suggest methylation-sensitive gene regulation.	0.88
NeST	Cluster_ZNF557_6	Cluster_ZNF557_6	EIF1AD EIF3G EIF5 METTL14 METTL16 METTL2A TRMT1 TRMT10C TRMT12	9	Coupling with RNA Modification and Translation Control	Genes such as *METTL16, METTL2A, METTL14* (methyltransferases), *TRMT1, TRMT10C, TRMT12* (tRNA/rRNA methyltransferases), and *EIF1AD, EIF3G, EIF5* reflect **post-transcriptional RNA modification and translation initiation control**. These ensure the fidelity and stability of transcripts reaching ribosomes.	0.88
NeST	Cluster_ZNF446_1	Cluster_ZNF446_1	BRF2 GTF2F1 MED29 TAF6 TCEA2 ZNF133 ZNF160 ZNF225 ZNF227 ZNF263 ZNF3	11	Transcriptional Regulation and Initiation	This system contains several components critical to **transcription initiation and regulation**, such as *TAF6, BRF2, MED29, ZNF263, ZNF3, ZNF133, ZNF160, ZNF225, ZNF227*, and other zinc finger proteins. These genes support DNA-binding transcription factor activity, chromatin interaction, and assembly of transcription initiation complexes. *BRF2* and *TAF6* are known for their roles in recruiting and stabilizing RNA polymerase complexes. *GTF2F1* and *TCEA2* facilitate promoter clearance and elongation. These elements define the core transcriptional control machinery.	0.81
NeST	Cluster_ZNF446_2	Cluster_ZNF446_2	CD2BP2 CLASRP ERI3 PRPF40B RBM23 SKIV2L SNAPC2 TRMT2A TUT1	9	Splicing and RNA Processing	Several splicing-associated proteins, including *PRPF40B, CD2BP2, CLASRP, RBM23*, and *SNAPC2*, contribute to **co-transcriptional splicing, exon definition, and intron removal**. *TUT1*, a terminal uridylyltransferase, and *TRMT2A*, a tRNA methyltransferase, extend this RNA regulatory layer to post-transcriptional RNA modification. The presence of RNA helicases such as *SKIV2L* and *ERI3* reflects additional support for RNA surveillance and structural remodeling.	0.81
NeST	Cluster_ZNF446_3	Cluster_ZNF446_3	AARS2 DUS3L GTPBP3 LONP1 MRPL10 MRPL38 NDUFA11 SARS2 TIMM44 TRMT2A	10	Mitochondrial RNA Metabolism and Translation	The system includes numerous genes related to **mitochondrial gene expression and translation**, such as *MRPL10, MRPL38, LONP1, AARS2, SARS2, TIMM44, GTPBP3*, and *NDUFA11*. These participate in mitochondrial ribosomal assembly, aminoacyl-tRNA synthesis, mRNA stability, and initiation of mitochondrial translation. *TRMT2A* and *DUS3L* function in tRNA modification, essential for mitochondrial translational fidelity.	0.81
NeST	Cluster_ZNF446_4	Cluster_ZNF446_4	NOL3 NXF1 RAE1 RANBP3	4	RNA Transport and Nuclear Export	*RAE1, NOL3, RANBP3*, and *NXF1-like pathways* are involved in **mRNA export and nuclear-cytoplasmic trafficking**. These genes facilitate mature transcript movement from the nucleus to the cytoplasm, often in conjunction with exon-junction complex (EJC)-associated surveillance.	0.81
NeST	Cluster_ZNF446_5	Cluster_ZNF446_5	FBXW4 RNF31 STUB1 TRIM46 TRIM68 UBOX5 USP19	7	Ubiquitin-Proteasome and RNA-Protein Complex Quality Control	Several components like *USP19, UBOX5, STUB1, FBXW4, RNF31, TRIM46, TRIM68* reflect a system for **deubiquitylation, ubiquitin ligation, and proteostasis** for RNA-associated or misfolded proteins. Their presence supports a coordinated **quality control system for RNA-protein complexes**, especially during co-transcriptional and co-translational surveillance.	0.81
NeST	Cluster_ZNF446_6	Cluster_ZNF446_6	E4F1 MED29 PIAS3 ZNF263 ZNF646	5	Chromatin-Linked Transcription Modulators	*ZNF646, ZNF263, MED29, E4F1* and *PIAS3* influence transcriptional dynamics via **chromatin structure modulation and SUMOylation-related transcriptional silencing or activation**. These genes mediate fine control of RNA polymerase access and transcription factor recruitment.	0.81
NeST	Cluster_ZC3H4_1	Cluster_ZC3H4_1	DAZAP1 HNRNPA3 HNRNPD HNRNPH3 HNRNPL HNRNPM HNRNPR HNRNPUL1 ILF3 KHDRBS1 KHSRP PTBP1 SF1 SF3A1 SF3A2 SF3B2 SF3B3 SFPQ SRSF10 SRSF9 SYNCRIP U2AF2	22	RNA-Binding Protein Network and Pre-mRNA Processing	This system is centered around a dense cluster of **RNA-binding proteins (RBPs)** such as *ILF3, PTBP1, HNRNPL, HNRNPA3, HNRNPD, HNRNPM, HNRNPR, HNRNPH3, HNRNPUL1, SFPQ, SYNCRIP, KHSRP, KHDRBS1, DAZAP1, SF1, SF3A1, SF3A2, SF3B2, SF3B3, SRSF9, SRSF10*, and *U2AF2*. These proteins function in **splice site recognition, alternative splicing regulation, exon definition, and RNA stabilization**, often in a co-transcriptional manner. Their interactions modulate splicing outcomes and determine transcript isoform diversity.	0.89
NeST	Cluster_ZC3H4_2	Cluster_ZC3H4_2	ARID1A BRPF1 CARM1 CTCF EP300 GTF2F1 MED12 MED22 MED25 MTA1 MTA2 POLR3B SAFB SMARCA4 SMARCC1 TAF4 TRIM28 TRRAP	18	Transcription-Coupled Regulatory Scaffold	The system includes multiple **transcription-associated co-regulators and chromatin remodelers** such as *TAF4, GTF2F1, POLR3B, CARM1, TRIM28, SMARCA4, SMARCC1, ARID1A, BRPF1, EP300, MTA1, MTA2, MED12, MED22, MED25*, and *TRRAP*. These factors support **transcription initiation, elongation, and histone modification**, providing a molecular scaffold that connects **RNA synthesis to downstream splicing and RBP activity**. *CTCF* and *SAFB/SAFB2* contribute to RNA-chromatin tethering and nuclear organization, further supporting regulated transcript output at the chromatin level.	0.89
NeST	Cluster_ZC3H4_3	Cluster_ZC3H4_3	DDX23 DDX46 NELFA NELFB PAF1 POLDIP3 PRPF19 PRPF31 RAVER1 SART1 SART3 SRRT SSRP1 SUGP1 SUPT5H SUPT6H	16	Spliceosome Assembly and Dynamic Coordination	Core spliceosomal proteins such as *PRPF31, PRPF19, DDX23, DDX46, SART1, SART3, SUPT5H, SUPT6H, SSRP1, NELFB, NELFA* form the **molecular machinery for spliceosome formation and dynamics**, including exon junction complex (EJC) recruitment and coupling to mRNA export readiness. Splicing co-factors like *SUGP1, PAF1, POLDIP3, SRRT*, and *RAVER1* coordinate spliceosomal transitions and post-splicing mRNP maturation.	0.89
NeST	Cluster_ZC3H4_4	Cluster_ZC3H4_4	ADAR GEMIN6 NUP153 NUP214 RANBP3 SMG TUT1 UBAP2L UPF1	9	mRNA Export and Quality Control	*RANBP3, NUP153, NUP214, UPF1, GEMIN6*, and *UBAP2L* participate in **mRNA nuclear export and surveillance**, coupling transcript processing with quality control and cytoplasmic export readiness. The presence of *SMG family members*, *TUT1*, and *ADAR* links this system to **RNA modification and degradation pathways**.	0.89
NeST	Cluster_ZC3H4_5	Cluster_ZC3H4_5	BAZ BRD1 BRD3 BRD8 EHMT2 KDM3B KDM4A KDM4D MBD2 MBD3 MBD6 SETD1A	12	Epigenetic and Histone Regulatory Interface	The system features numerous **epigenetic regulators**, including *KDM3B, KDM4A, KDM4D, EHMT2, MBD2, MBD3, MBD6, SETD1A, BRD1, BRD3, BRD8*, and *BAZ family members*. These functionally integrate **histone methylation and acetylation status with RNA Pol II recruitment and pre-mRNA processing**, influencing transcriptional elongation rate and exon inclusion.	0.89
NeST	Cluster_ZC3H4_6	Cluster_ZC3H4_6	ADAT1 ADAT3 METTL13 TRMT1L TUT1 ZC3H7B	6	RNA Modification and Stability Regulation	Enzymes such as *TUT1, TRMT1L, METTL13, ADAT1, ADAT3*, and *ZC3H7B* contribute to **RNA editing, methylation, and uridylation**, modulating mRNA half-life and translation efficiency. These post-transcriptional marks influence RBP binding and splicing outcomes.	0.89
NeST	Cluster_ZC3H4_7	Cluster_ZC3H4_7	FBL NCL NOP14 RRS1 UBTF	5	Nucleolar and Ribosome Biogenesis Linkage	*NOP14, FBL, NCL, RRS1*, and *UBTF* link **rRNA processing and ribonucleoprotein biogenesis** with RNA-binding activity, suggesting that nuclear pre-mRNA and rRNA processing are coordinated in shared subcompartments (e.g., nucleoli).	0.89
NeST	Cluster_POLR2G_1	Cluster_POLR2G_1	RPL15 RPL21 RPL23 RPL23A RPL24 RPL30 RPL34 RPL36A RPL37A RPL38 RPL39 RPL7A RPS11 RPS12 RPS13 RPS14 RPS15A RPS18 RPS21 RPS24 RPS25 RPS27 RPS27A RPS29 RPS3 RPS3A RPS5 RPS7	28	Cytoplasmic and Nuclear Ribosomal Component Assembly	This system includes a large number of **ribosomal protein genes** from both the small (RPS) and large (RPL) subunits—*RPS3, RPS3A, RPS5, RPS7, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS21, RPS24, RPS25, RPS27, RPS27A, RPS29, RPL15, RPL21, RPL23, RPL23A, RPL24, RPL30, RPL34, RPL36A, RPL37A, RPL38, RPL39, RPL7A*. These proteins contribute to **ribosome structure and function**, including mRNA decoding, peptidyl transfer, and translational control. Their expression and incorporation are tightly coupled with **ribosome biogenesis**, requiring stoichiometric synthesis and nuclear processing before cytoplasmic translation assembly.	0.91
NeST	Cluster_POLR2G_2	Cluster_POLR2G_2	CWF19L1 DCPS EXOSC8 FCF1 METTL12 METTL6 NOP10	7	Ribosomal RNA Processing and Modification	Key components of **rRNA processing and small nucleolar ribonucleoprotein (snoRNP) complexes** include *NOP10*, *FCF1*, *EXOSC8*, and *CWF19L1*. These proteins contribute to **cleavage, trimming, and chemical modification** (e.g., pseudouridylation, methylation) of precursor rRNA within the nucleolus. *DCPS* is also involved in RNA turnover and decapping pathways. *METTL12* and *METTL6* act as **RNA methyltransferases**, potentially modifying tRNAs or small RNAs, influencing translational fidelity and ribonucleoprotein stability.	0.91
NeST	Cluster_POLR2G_3	Cluster_POLR2G_3	EIF4E2 GEMIN2 SUPT4H1 TXNL4B WIBG	5	Translational Initiation and Ribosome Recycling	Translational machinery components such as *EIF4E2* (eukaryotic translation initiation factor) and *TXNL4B* contribute to **initiation complex formation**, ribosome recruitment, and re-initiation. *GEMIN2* and *WIBG* (a.k.a. PYM1) assist in **exon junction complex recycling** and link mRNA export to translation readiness. *SUPT4H1* integrates with the transcription-translation interface, ensuring **transcript stability and export coordination** for translational activation.	0.91
NeST	Cluster_POLR2G_4	Cluster_POLR2G_4	PSMB10 PSMB8 PSMD10 PSMD9 PSME1	5	Proteasome-Linked Ribosome Quality Control	The presence of *PSMD9, PSMD10, PSMB8, PSMB10, PSME1* indicates **proteasomal degradation components** involved in **ribosome-associated quality control (RQC)** and clearance of stalled nascent peptide chains. RQC components are critical for maintaining fidelity during translation and surveilling defective ribosomes or misfolded nascent proteins.	0.91
NeST	Cluster_POLR2G_5	Cluster_POLR2G_5	BCDIN3D CHD HDAC1 KAT5 NUP133 RBM3 RPAIN SIRT3 ZMAT2	9	Nuclear Export, mRNP Surveillance, and RNA Chaperoning	*NUP133*, *RPAIN*, and *ZMAT2* regulate **nuclear-cytoplasmic export of mRNAs and ribonucleoprotein complexes**. *SIRT3, HDAC1, KAT5*, and *CHD family members* contribute to **chromatin remodeling and transcriptional activity** affecting rRNA gene expression. *BCDIN3D* and *RBM3* support RNA stability and export readiness, ensuring processed RNAs reach translationally competent cytoplasmic ribosomes.	0.91
NeST	Cluster_RPLP0_1	Cluster_RPLP0_1	RPL10 RPL31 RPL32 RPL37A RPL39 RPS19 RPS9	7	Ribosomal Structural Components and Translational Core	This system contains a defined subset of **cytosolic ribosomal proteins**, including *RPL10, RPL31, RPL32, RPL37A, RPL39, RPS9, RPS19*, supporting **ribosome biogenesis and protein synthesis**. These proteins contribute to ribosome stability, peptidyl transferase activity, and translational elongation. Their consistent presence indicates active **translational output and regulation**.	0.84
NeST	Cluster_RPLP0_2	Cluster_RPLP0_2	SCARNA12 SNORA68	2	RNA Modification and Surveillance by Small Non-Coding RNAs	*SCARNA12* and *SNORA68* are **small Cajal body- and nucleolar RNAs**, respectively, that guide site-specific **modifications (pseudouridylation and 2'-O-methylation)** of rRNA and snRNA. These modifications affect **ribosome fidelity and splicing efficiency**, tightly linking RNA processing to ribosome performance.	0.84
NeST	Cluster_RPLP0_3	Cluster_RPLP0_3	PDCD4 SMUG1 WIBG	3	RNA Surveillance and Nuclear Export Quality Control	*SMUG1* is involved in **uracil-DNA glycosylation** but also plays a role in **RNA quality control**, especially during tRNA maturation. *WIBG* (PYM1) links **exon-junction complex (EJC) recycling** to translational activation and mRNA surveillance. *PDCD4* acts as a **translation inhibitor**, influencing the balance of protein synthesis and RNA turnover.	0.84
NeST	Cluster_RPLP0_4	Cluster_RPLP0_4	COX14 ETHE1 FUNDC2 GPX7 IMMP2L MMAB MRPS24	7	Mitochondrial and Redox-Linked Translational Interface	Several genes are involved in **mitochondrial protein synthesis and redox-linked translation**: -   *MRPS24* – mitochondrial small ribosomal subunit protein, key in mitochondrial translation. -   *FUNDC2, IMMP2L, COX14, ETHE1, MMAB, GPX7* – maintain **mitochondrial oxidative balance**, electron transport, and **cofactor biosynthesis**, indirectly modulating energy-dependent translation. This indicates a **functional bridge between mitochondrial and cytoplasmic translational activity**, possibly supporting dual-compartment protein synthesis coordination.	0.84
NeST	Cluster_RPLP0_5	Cluster_RPLP0_5	AMFR RAB4A TMED3 TMEM101 TMEM14B VAMP8	6	Membrane Trafficking and Endoplasmic Reticulum Integration	Genes such as *VAMP8, RAB4A, TMEM14B, TMEM101, TMED3, AMFR* indicate **vesicular trafficking and ER-Golgi dynamics**, suggesting **translation-export coupling** for membrane or secretory proteins. This functional layer supports **co-translational translocation and protein quality assurance**.	0.84
NeST	Cluster_RPLP0_6	Cluster_RPLP0_6	HDDC3 MGMT ZNF16 ZNF22 ZNF32	5	Zinc Finger Regulators and DNA Repair Coupling	*ZNF16, ZNF22, ZNF32* encode **zinc finger proteins**, potentially linking transcriptional feedback with translation. *MGMT* and *HDDC3* contribute to **DNA repair and metabolic surveillance**, indirectly influencing mRNA stability and stress-induced translational arrest.	0.84
NeST	Cluster_SPEN_1	Cluster_SPEN_1	ATRX BCOR CHD2 ING5 KAT8 KDM5C MED12 MED14 NCOR1 PHC3 RBBP5 TADA2B TRRAP UBN1 UBN2 WDR33 WTAP	17	Transcriptional Regulation and Chromatin Remodeling	This system prominently features **transcriptional regulators and chromatin modifiers**: -   *RBBP5, KDM5C, CHD2, ING5, TRRAP, ATRX, MED12, MED14, TADA2B, KAT8, NCOR1, UBN1, UBN2, PHC3, BCOR, WDR33* – involved in **histone modification, nucleosome remodeling, and transcriptional complex assembly**, critical for gene expression control. -   *WTAP* (a component of the m6A writer complex) links **epitranscriptomic regulation to transcriptional dynamics**. Together, these factors define a **chromatin-regulated transcriptional environment** that supports controlled RNA polymerase activity.	0.83
NeST	Cluster_SPEN_2	Cluster_SPEN_2	AFF4 LARP4 NXF1 POM121 PRPF8 RBM15 RBM27 THOC2 WTAP YTHDF1 ZCCHC6	11	RNA Binding, Processing, and Export	Multiple proteins are involved in **RNA maturation and export coordination**: -   *PRPF8, RBM15, RBM27, AFF4, YTHDF1, LARP4* – function in **RNA binding, alternative splicing, and exon definition**. -   *NXF1, THOC2* – components of the **TREX/TAP export complex**, essential for **mRNA nuclear export**. -   *POM121, WTAP, ZCCHC6* – associate with **nuclear pore or RNA modification** complexes, coupling RNA surveillance to export readiness. This reflects a tight **coupling between transcription, splicing, and export** from the nucleus.	0.83
NeST	Cluster_SPEN_3	Cluster_SPEN_3	CBL HECTD1 HERC2 ITCH PSME4 RNF111 UBE2O UBR4 UBR5	9	Protein Quality Control and Ubiquitin-Mediated Regulation	-   *UBR4, UBR5, ITCH, HECTD1, HERC2, RNF111* – E3 ubiquitin ligases involved in **co-transcriptional protein turnover, chromatin-associated degradation**, and **modulation of transcriptional regulators**. -   *PSME4, CBL, UBE2O* – interface with **proteasome function**, contributing to **transcription-coupled degradation pathways**. These elements establish **quality control and transcriptional feedback** at the protein level.	0.83
NeST	Cluster_SPEN_4	Cluster_SPEN_4	LATS1 MAP3K2 MTOR PDPK1 PRKCD ROCK2 SGK494 TAOK3	8	Signal-Responsive Transcription Integration	-   *MTOR, MAP3K2, LATS1, PRKCD, TAOK3, PDPK1, ROCK2, SGK494* – kinases linking **signaling cascades to gene expression regulation**. -   These components enable **dynamic transcriptional responses to environmental or intracellular stimuli**, integrating metabolism, stress, and developmental inputs.	0.83
NeST	Cluster_SPEN_5	Cluster_SPEN_5	CIZ1 HNRNPA1L2 PAPD5 PER2 RNF169 WAC ZFC3H1	7	RNA Surveillance and Stability	-   *CIZ1, PAPD5, ZFC3H1, RNF169* – contribute to **RNA stability, degradation of aberrant transcripts**, and **non-coding RNA regulation**. -   *WAC, PER2, HNRNPA1L2* – interface **transcriptional timing and circadian regulation** with RNA processing.	0.83
NeST	Cluster_SPEN_6	Cluster_SPEN_6	KPNA1 NUP TNPO2 ZNF106	4	Nuclear Structural and Trafficking Components	-   *NUP-related proteins (POM121), TNPO2, ZNF106, KPNA1* – regulate **nucleocytoplasmic trafficking** and **nuclear scaffold dynamics**, ensuring the movement and localization of transcriptional machinery and mature RNAs.	0.83
NeST	Cluster_PKM_1	Cluster_PKM_1	BNIP3 DDIT4 EGLN EGLN1 EGLN3 HIF1A MIR210HG VEGFA	8	Hypoxia Sensing and Adaptive Response	This system prominently features components regulated by or regulating **hypoxia-inducible factors (HIFs)**. *HIF1A*, *EGLN1*, *EGLN3*, *MIR210HG*, *VEGFA*, *BNIP3*, and *DDIT4* are core mediators of the transcriptional and metabolic response to low oxygen conditions. *EGLNs* hydroxylate HIF1A under normoxia, while *HIF1A* activates genes that enhance glycolytic flux, angiogenesis (*VEGFA*), and survival during hypoxic stress (*BNIP3*, *MIR210HG*). *DDIT4* connects hypoxia to mTOR inhibition, reducing energy expenditure. These factors establish a functional axis adapting metabolism and signaling to oxygen availability.	0.79
NeST	Cluster_PKM_2	Cluster_PKM_2	ALDOC ENO1 ENO2 ENO3 HK2 LDHA PDK1 PDK3 PFKL PFKP SLC16A3	11	Metabolic Reprogramming Toward Glycolysis	Glycolytic genes including *PFKP*, *PFKL*, *ENO1*, *ENO2*, *ENO3*, *ALDOC*, *LDHA*, and *HK2* are key effectors of the hypoxia-induced metabolic shift. HIF1A upregulates these enzymes, favoring glycolysis and lactate production over mitochondrial respiration. This shift is supported by regulatory components like *PDK1*, *PDK3*, and *SLC16A3* (lactate transporter), which further suppress pyruvate entry into mitochondria and facilitate acid-base balance under anaerobic metabolism.	0.79
